"","ID","R1","R2","R3","R4","R5","R6","R7","R8","R9","M1","M2","M3","M4","M5","M6","M7","M8","M9","S2","S3","S4","S5","S6","S7","S8","S9","T1","T2","T3","T4","T5","T6","T7","T8","T9","SEX","RACE","LOCALE","INCOME","SCHOOL_TYPE","Approach_to_Learning","Self_control","Interpersonal","External_prob_Behavior","Internal_prob_Behavior","Attention_focus","Inhibitory_Ctrl","EDU"
"14","10000014",61.0533,71.0552,78.5028,109.9882,112.6338,119.0805,131.0204,143.4052,137.0652,51.2953,50.6399,57.3925,80.1414,85.2682,94.1731,106.128,115.0474,125.8766,24.6497,30.483,32.3496,40.9454,46.5182,65.5331,69.0916,75.929,67.82,71.9,78.18,85.94,91.73,97.51,106.85,121.87,132.89,1,1,2,17,1,3.1667,3.6667,3.2,1,1,5.5,6.8,5
"29","10000029",58.7342,63.3107,87.439,108.3098,117.8031,124.4843,123.0577,126.5784,137.9527,44.1411,54.3557,64.7107,82.9958,83.2294,106.2275,123.4263,132.7925,127.5096,35.8322,43.7028,40.6455,47.7815,53.1821,60.4607,77.6913,68.3381,69.4,75.16,80.94,86.86,92.68,99.32,110.4,123.32,135.29,2,1,1,8,1,2.8571,3,3.2,2,1,6,4.3333,5
"47","10000047",51.5844,66.6677,67.5425,81.5954,92.1793,104.7755,112.0417,121.5341,140.2891,30.9925,44.7628,47.0755,57.7788,66.8194,78.5502,94.3809,99.701,115.347,41.2768,46.7668,42.082,43.3976,55.4341,73.3641,80.3503,82.6842,62.79,68.81,74.56,80.52,86.56,92.52,105.3,116.32,127.36,1,1,1,17,1,2.5714,3.5,4,1.6,1,4.5,2.6667,5
"66","10000066",53.692,61.6393,74.8572,91.1721,105.4468,122.3648,126.2234,141.0226,148.8337,24.6459,47.0937,56.6954,69.5438,76.1157,86.6673,122.506,118.6628,131.0051,43.2319,53.8406,59.3788,56.0984,61.3869,77.8254,79.7523,86.9595,64.6,71.28,76.54,82.72,88.54,95.11,108.13,119.21,132.1,1,3,1,18,2,2.2857,3,3.2,1.6,1.25,4.8333,3.5,6
"95","10000095",54.8889,73.2573,77.7501,107.0961,113.7871,108.4502,127.03,132.5852,136.9246,29.6065,50.2221,61.0513,81.7005,77.4089,95.1059,109.7579,118.7727,120.9763,43.4005,46.8256,50.2495,47.4,55.3191,68.1581,58.9861,82.4376,62.76,68.05,74.5,80.71,86.66,93.07,105.17,116.19,130.19,2,1,2,16,1,3.5714,3.5,3.4,1,1,5.5,6,6
"129","10000129",91.2245,107.1388,120.3719,136.5753,137.1338,139.9153,140.1828,152.343,155.956,60.4633,74.5698,82.6556,83.0306,110.981,119.8762,119.4172,122.1821,136.536,47.8725,63.9814,66.443,68.9873,73.0444,78.6502,82.9082,89.5211,66.87,72.56,78.81,84.49,90.94,96.49,108.53,120.43,132.43,2,8,4,18,1,3.7143,3.3333,3.2,1,1,7,6,8
"167","10000167",53.2403,61.3283,72.6818,85.255,90.4867,106.3293,109.9093,129.1613,123.5006,27.6752,35.6628,40.4603,61.4422,55.493,67.172,68.3303,82.6799,92.163,35.1082,44.4616,45.234,51.7393,47.4773,65.3974,58.7315,71.1424,65.85,70.65,77.62,82.65,88.37,95.01,106.98,119.93,131.97,1,1,2,18,2,3,4,3.6,1,1,4,6.2,5
"225","10000225",55.3157,73.8509,103.5756,117.2309,118.5351,135.4636,138.4924,148.8314,154.0239,49.4238,56.016,75.7383,91.753,89.0471,107.4974,123.7841,125.9096,133.5753,34.0092,58.7974,46.5198,61.853,72.7134,73.1388,80.3115,88.8048,67.07,74.37,80.94,85.48,91.36,97.81,109.51,121.55,133.55,2,1,2,16,2,3.7143,3.5,3.4,1,1,5.5,4.8333,6
"282","10000282",46.2748,67.7824,70.7348,72.1181,75.0177,85.7548,105.9908,105.2087,127.3339,28.8695,36.0259,36.65,45.6972,54.0853,54.2465,67.8957,85.3568,96.0797,28.2176,28.3464,34.3122,35.4745,45.6286,52.0071,48.933,71.074,70.92,76.67,81.93,87.88,93.14,100.73,111.62,123.62,135.58,1,3,2,5,1,1.7143,2,1.8,1.2,1.75,3.5,4.8333,3
"295","10000295",53.0987,62.7228,62.0475,75.7248,75.4365,80.7232,101.7844,116.443,126.2753,25.5655,44.2727,45.1673,58.8651,56.6447,69.0709,83.3965,95.7777,116.1546,24.7114,29.4272,32.8412,33.529,41.1725,40.85,59.4949,62.8063,68.58,73.94,79.59,85.58,91.1,96.23,108.36,121.35,131.41,2,3,1,5,1,4,4,4,1,1,6.8333,6.8333,2
"313","10000313",61.1402,81.0063,90.1597,118.501,122.7518,122.12,140.7603,140.9186,158.527,51.7323,95.5323,84.9092,113.4492,111.9447,121.4465,132.3715,141.1043,147.4934,53.3418,51.3583,67.1723,61.7936,69.3326,83.1741,87.6418,89.6982,73.97,79.27,85.71,91.89,97.84,103.82,115.43,128.38,140.42,1,1,4,17,1,2.8571,3.3333,3,1.6,1,5,4.4,8
"398","10000398",58.589,63.2199,65.0048,79.6854,84.1004,99.7043,119.2519,123.3831,133.6459,42.1286,53.8533,49.2379,72.2431,76.5675,96.5444,110.304,111.5472,116.9958,36.127,34.2232,45.4093,39.9736,43.449,54.9235,59.4663,70.6245,70.92,74.79,80.78,87.45,91.99,100.08,109.94,123.91,135.95,2,5,1,15,1,3.1429,2.75,2.8,2.2,2,6.1667,4.8,8
"418","10000418",44.4196,51.1108,61.6194,76.1004,87.8914,103.025,104.275,110.2,117.3012,21.3393,39.2059,47.982,61.4048,64.0827,70.4537,90.0503,90.6869,103.3065,21.3152,21.9933,28.8981,30.2278,40.2775,52.6164,47.9493,63.6424,58.49,64.47,70.19,76.57,82.78,89.69,101.75,111.85,123.85,2,3,1,5,1,3.2857,3,2.6,1.8,1,4.8333,5.3333,3
"488","10000488",58.913,81.6811,99.4679,108.1534,105.1264,122.3307,140.314,147.2895,155.0776,35.2116,47.795,65.7357,77.7272,79.1194,105.7158,116.7285,119.2377,136.8831,36.818,35.6971,42.0408,54.8481,57.4172,71.4808,74.9962,83.8181,63.98,70.45,75.48,81.93,87.55,94.42,105.67,117.7,129.63,2,1,2,10,1,2.8571,3.25,2,1,1.75,5.1667,4.25,6
"507","10000507",52.7389,67.8411,71.8334,95.9287,109.4046,113.0119,118.614,130.9745,137.3613,40.9513,74.2477,76.8812,83.3167,104.1029,102.0305,116.8049,135.389,138.6394,37.4294,38.0663,49.3414,57.7471,50.6703,67.5119,79.5273,86.5722,70.16,76.87,82.42,88.41,93.44,100.34,112.18,125.13,136.21,1,1,2,17,1,2.8571,3.25,3.6,1,1,5,6.25,5
"535","10000535",49.4948,59.4608,58.8849,78.0589,76.2885,85.0224,104.0391,117.7592,109.1812,42.0469,52.6104,56.1891,72.7229,71.7415,87.3083,100.6296,118.4809,120.5057,36.2676,41.3298,46.9259,54.5964,51.7887,62.1954,63.5297,71.7969,68.55,74.5,80.45,86.63,92.19,98.79,111.65,123.55,135.58,1,6,2,9,1,4,4,3.8,1,1,7,6.6,3
"540","10000540",62.3854,82.6815,105.5047,111.6809,136.8799,140.1732,140.2576,149.9575,152.2531,38.0062,51.893,69.9205,81.6664,83.4497,104.4808,105.8254,115.1871,135.4724,45.7464,54.7398,56.4928,57.8587,66.7489,73.8118,76.2991,87.1028,71.31,77.1,84.13,90.15,94.95,101.03,113.36,125.39,136.41,2,5,1,18,2,2.8571,4,3.2,1,1,4.5,4.6,8
"620","10000620",55.3558,67.0266,90.1898,107.2137,104.6763,107.9379,123.9242,126.9141,138.8752,30.8492,38.0948,50.8874,64.9503,74.1967,80.1248,103.0373,110.2541,118.1309,31.3859,33.0268,38.4183,44.4887,49.7391,56.9355,77.3313,60.4896,71.54,77.79,83.08,88.54,94.98,100.96,112.27,125.33,137.23,2,1,2,12,1,3.2857,3.5,3.8,1,2,4.5,6,8
"681","10000681",50.5273,63.6413,65.1082,97.3874,106.9626,117.3102,128.1493,139.9759,158.0935,36.6125,50.8156,54.6694,73.0069,80.3579,92.1693,101.713,123.4125,121.2023,34.7544,33.5619,39.8595,42.8082,55.0728,64.9492,73.4528,85.413,66.58,72.07,76.24,83.57,89,95.24,106.29,118.29,131.21,1,7,4,5,1,3.4286,4,3.8,1.4,2,4.8333,6.2,5
