im1_1,im1_2,im1_3,im1_4,im2_1,im2_2,im2_3,im2_4,im3_1,im3_2,im3_3,im4_1,im4_2,im4_3,im4_4,im5_1,im5_2,im5_3,im6_1,im6_2,im6_3,pv1,pv2,pv3,pv4,ly1,ly2,ly3,ly4,ly5,sc1,sc2,sc3
3,2,1,3,2,1,3,3,2,1,2,5,5,4,3,2,3,3,2,3,2,2,2,3,3,2,2,2,2,1,3,3,3
4,4,3,2,2,1,2,1,3,2,1,3,2,3,1,2,1,2,2,1,1,3,1,2,2,2,2,2,1,1,2,3,3
3,4,4,2,2,1,3,2,2,2,3,3,3,3,3,3,3,3,5,5,4,5,4,5,4,5,4,5,5,5,3,3,4
1,2,2,2,3,3,1,1,2,2,1,3,4,4,2,2,1,3,2,3,2,2,3,2,2,4,1,3,3,3,4,3,3
3,2,2,2,5,5,4,3,4,4,5,5,6,6,6,5,4,6,2,1,2,4,3,5,3,4,5,5,4,4,3,3,3
3,2,3,2,1,2,1,2,2,2,2,1,2,1,1,1,2,1,4,5,6,2,1,2,1,2,1,3,4,3,3,2,4
3,4,2,3,3,3,5,5,1,2,2,2,1,1,2,1,1,1,5,5,4,4,4,3,4,3,4,4,3,3,3,3,3
4,5,5,5,3,5,4,4,4,4,3,3,4,4,4,3,5,4,6,4,6,6,6,5,6,5,5,6,5,5,3,3,3
4,3,4,3,5,4,4,5,1,1,2,5,4,6,5,2,2,1,6,7,7,5,4,5,4,4,5,5,6,4,3,3,3
3,3,1,3,1,2,3,2,2,4,3,2,3,3,1,4,3,3,5,6,4,2,2,1,3,2,1,1,1,1,3,2,4
6,6,6,6,6,6,5,6,1,1,1,5,5,4,5,6,5,5,7,6,7,3,3,2,3,5,5,4,5,5,3,3,3
3,3,5,4,5,4,4,5,2,1,2,4,4,3,3,3,3,3,4,4,3,5,5,4,5,3,4,4,4,4,3,3,4
2,1,2,1,5,6,5,5,5,6,4,3,3,3,2,4,5,4,4,5,4,7,7,5,5,2,2,1,1,2,3,4,3
2,2,3,3,6,6,5,6,3,3,3,1,2,1,2,4,3,4,4,4,4,4,5,5,4,6,6,4,5,6,4,3,3
4,4,4,4,5,7,7,7,3,3,2,5,5,3,3,4,5,4,4,4,4,7,6,7,6,4,4,4,4,5,3,3,3
5,5,5,4,6,6,6,7,6,7,7,4,5,4,2,6,5,5,4,5,3,6,7,7,7,6,7,7,7,4,4,4,4
4,4,3,3,7,5,6,7,6,4,5,5,5,5,5,6,6,5,2,3,3,5,5,7,6,5,5,7,6,4,4,5,5
6,5,6,4,4,3,4,4,5,4,3,5,5,5,5,7,6,7,5,5,5,6,5,5,5,6,5,5,5,6,3,3,3
3,2,3,4,6,5,4,4,6,5,6,5,5,5,5,2,3,3,4,4,5,5,5,6,5,6,5,5,4,5,3,3,3
3,3,2,4,5,4,6,4,3,3,4,6,5,4,6,6,7,6,5,5,5,5,5,5,5,5,6,5,6,6,3,3,3
3,3,4,4,7,6,5,6,2,2,1,4,5,3,5,5,7,6,4,4,4,4,5,5,5,6,6,6,6,5,2,3,1
5,5,4,4,6,6,5,5,7,7,7,4,4,5,2,5,5,6,5,6,5,5,5,6,5,5,7,6,6,7,4,4,5
5,4,4,4,5,6,5,4,5,5,5,5,5,5,4,5,5,5,4,5,5,5,6,5,6,6,5,4,4,4,3,5,3
5,6,7,6,4,5,4,4,2,3,4,4,3,4,2,5,5,4,4,4,4,2,4,3,4,3,4,4,4,4,4,3,4
4,3,3,3,6,5,6,6,5,6,5,6,6,6,6,4,5,5,4,6,5,3,5,3,4,5,5,6,5,6,4,4,4
5,4,3,3,6,7,6,6,5,4,4,5,5,5,7,4,5,3,3,3,5,6,7,6,7,4,4,5,4,5,5,5,4
3,4,5,3,5,4,6,5,3,3,4,6,5,6,6,4,4,4,6,4,6,6,6,6,6,5,6,5,4,4,4,5,4
6,7,5,5,6,5,6,6,5,4,4,6,7,6,7,2,3,2,5,5,5,4,3,4,5,6,5,6,5,4,4,4,4
7,7,6,6,6,6,5,5,6,6,7,4,5,4,6,3,4,3,4,5,4,4,5,5,4,7,6,7,6,6,3,3,2
5,4,5,5,3,2,2,3,6,7,7,5,4,6,5,6,7,5,6,6,7,6,7,7,7,6,7,7,7,6,5,5,4
4,6,6,5,7,6,6,6,6,7,6,3,4,5,3,5,4,5,7,6,6,4,6,6,6,4,4,4,5,4,5,5,4
5,6,5,4,5,5,6,6,7,7,6,4,5,3,3,5,6,6,5,4,5,5,5,5,5,6,7,5,7,5,3,3,3
3,3,3,5,6,6,6,5,5,5,5,5,5,6,5,5,5,5,6,6,5,7,6,6,5,5,6,5,5,5,4,4,4
4,5,4,4,6,6,6,5,6,5,5,6,5,6,5,2,1,3,3,2,2,5,5,6,4,5,5,6,4,5,5,5,2
6,5,6,6,6,4,5,5,6,6,6,3,5,5,3,5,6,5,1,2,3,2,2,1,2,2,2,1,2,4,5,5,4
3,2,2,3,1,2,2,3,5,5,5,4,6,4,4,6,6,7,4,4,5,5,5,5,5,5,5,5,5,6,4,4,5
6,6,7,6,4,4,5,6,6,7,5,2,4,4,1,4,5,5,2,1,2,5,5,4,4,5,5,4,4,3,4,4,5
